"","Region_A","Region_B","PAR_A","PAR_B","Distance","Risk_Flow"
"1","Bali_98","Jawa Timur_94",19.9647059366836,14.8048773230386,305.518958310097,0.96745231071107
"2","Bali_98","Bali_96",19.9647059366836,6.72535990627317,117.609675180936,1.14165635302146
"3","Bali_98","Jawa Tengah_92",19.9647059366836,6.61607930057442,483.734534557206,0.273059019469546
"4","Bali_98","Jawa Tengah_90",19.9647059366836,17.4799286134314,579.846942630435,0.601851297134117
"5","Bali_98","Jawa Tengah_93",19.9647059366836,8.03806820849287,527.051890491648,0.304481723672156
"6","Bali_98","Jawa Timur_86",19.9647059366836,8.7777498287648,402.80640261434,0.435060597298523
"7","Bali_98","Jawa Tengah_84",19.9647059366836,25.5680702715272,569.91979260729,0.89566814657241
"8","Bali_98","Jawa Timur_88",19.9647059366836,10.9144668163714,363.010511397879,0.600269451166694
"9","Bali_98","Jawa Tengah_85",19.9647059366836,15.3772307479213,619.139790614027,0.495852301300668
"10","Bali_98","Jawa Tengah_89",19.9647059366836,10.1275927429022,653.755259194235,0.309281505754527
"11","Bali_98","Jawa Tengah_81",19.9647059366836,14.9160203492269,646.117258251304,0.460897702723302
"12","Bali_98","Jawa Tengah_82",19.9647059366836,29.507148773662,541.513114414241,1.08788048269777
"13","Bali_98","Jawa Tengah_80",19.9647059366836,26.6649212586539,667.333047992265,0.797738570501638
"14","Bali_98","Jawa Tengah_83",19.9647059366836,8.63340881439267,443.951943524227,0.388248031627585
"15","Bali_98","Jawa Tengah_76",19.9647059366836,20.5146024713171,524.811725742781,0.780409403330568
"16","Bali_98","Jawa Timur_87",19.9647059366836,12.5730771928748,336.117383526483,0.746815848205573
"17","Bali_98","Jawa Timur_75",19.9647059366836,12.2092094633733,318.513016526391,0.765285134384537
"18","Bali_98","Jawa Tengah_77",19.9647059366836,9.68742519636453,489.404236486284,0.395187824113692
"19","Bali_98","Jawa Barat_78",19.9647059366836,19.666634947895,696.737126781194,0.563539057137304
"20","Bali_98","Jawa Barat_71",19.9647059366836,34.9392273233246,761.605392602112,0.915896087318728
"21","Bali_98","Jawa Tengah_91",19.9647059366836,14.4520577029154,606.761958930491,0.475525991654567
