"","Region_A","Region_B","PAR_A","PAR_B","Distance","Risk_Flow"
"1","Jawa Timur","Jawa Tengah",9.70233519077625,17.9756005608837,283.389205324905,0.615426765099411
"2","Jawa Timur","Jawa Barat",9.70233519077625,23.4153919047716,573.100380778866,0.396412196716274
"3","Jawa Timur","Jakarta Raya",9.70233519077625,98.4347961587678,671.913903709749,1.42138357532881
"4","Jawa Timur","Banten",9.70233519077625,22.1792479243246,745.128905135905,0.288796335986828
"5","Jawa Timur","Yogyakarta",9.70233519077625,11.3602883084251,252.164807277015,0.437100348071625
"6","Jawa Timur","Bali",9.70233519077625,18.0443428785106,274.078661012384,0.638766484986205
"7","Jawa Tengah","Jawa Timur",17.9756005608837,9.70233519077625,283.389205324905,0.615426765099411
"8","Jawa Tengah","Jawa Barat",17.9756005608837,23.4153919047716,289.914558521367,1.45182682098975
"9","Jawa Tengah","Jakarta Raya",17.9756005608837,98.4347961587678,389.688191385211,4.54061635984478
"10","Jawa Tengah","Banten",17.9756005608837,22.1792479243246,461.747517401145,0.863427060035728
"11","Jawa Tengah","Yogyakarta",17.9756005608837,11.3602883084251,75.5783725788992,2.70193704787102
"12","Jawa Tengah","Bali",17.9756005608837,18.0443428785106,556.981762463976,0.582349229053457
"13","Jawa Barat","Jawa Timur",23.4153919047716,9.70233519077625,573.100380778866,0.396412196716274
"14","Jawa Barat","Jawa Tengah",23.4153919047716,17.9756005608837,289.914558521367,1.45182682098975
"15","Jawa Barat","Jakarta Raya",23.4153919047716,98.4347961587678,115.316868949283,19.987442861786
"16","Jawa Barat","Banten",23.4153919047716,22.1792479243246,173.35493461885,2.9957946304961
"17","Jawa Barat","Yogyakarta",23.4153919047716,11.3602883084251,332.69760624449,0.799541679592038
"18","Jawa Barat","Bali",23.4153919047716,18.0443428785106,846.046575566673,0.499399645795392
"19","Jakarta Raya","Jawa Timur",98.4347961587678,9.70233519077625,671.913903709749,1.42138357532881
"20","Jakarta Raya","Jawa Tengah",98.4347961587678,17.9756005608837,389.688191385211,4.54061635984478
"21","Jakarta Raya","Jawa Barat",98.4347961587678,23.4153919047716,115.316868949283,19.987442861786
"22","Jakarta Raya","Banten",98.4347961587678,22.1792479243246,85.7299212310521,25.4661350090555
"23","Jakarta Raya","Yogyakarta",98.4347961587678,11.3602883084251,440.627245291016,2.53785410660683
"24","Jakarta Raya","Bali",98.4347961587678,18.0443428785106,945.972104968701,1.87763592999803
"25","Banten","Jawa Timur",22.1792479243246,9.70233519077625,745.128905135905,0.288796335986828
"26","Banten","Jawa Tengah",22.1792479243246,17.9756005608837,461.747517401145,0.863427060035728
"27","Banten","Jawa Barat",22.1792479243246,23.4153919047716,173.35493461885,2.9957946304961
"28","Banten","Jakarta Raya",22.1792479243246,98.4347961587678,85.7299212310521,25.4661350090555
"29","Banten","Yogyakarta",22.1792479243246,11.3602883084251,505.988575984969,0.497961145454502
"30","Banten","Bali",22.1792479243246,18.0443428785106,1018.60242532467,0.392901042039483
"31","Yogyakarta","Jawa Timur",11.3602883084251,9.70233519077625,252.164807277015,0.437100348071625
"32","Yogyakarta","Jawa Tengah",11.3602883084251,17.9756005608837,75.5783725788992,2.70193704787102
"33","Yogyakarta","Jawa Barat",11.3602883084251,23.4153919047716,332.69760624449,0.799541679592038
"34","Yogyakarta","Jakarta Raya",11.3602883084251,98.4347961587678,440.627245291016,2.53785410660683
"35","Yogyakarta","Banten",11.3602883084251,22.1792479243246,505.988575984969,0.497961145454502
"36","Yogyakarta","Bali",11.3602883084251,18.0443428785106,518.587548446528,0.395283184199118
"37","Bali","Jawa Timur",18.0443428785106,9.70233519077625,274.078661012384,0.638766484986205
"38","Bali","Jawa Tengah",18.0443428785106,17.9756005608837,556.981762463976,0.582349229053457
"39","Bali","Jawa Barat",18.0443428785106,23.4153919047716,846.046575566673,0.499399645795392
"40","Bali","Jakarta Raya",18.0443428785106,98.4347961587678,945.972104968701,1.87763592999803
"41","Bali","Banten",18.0443428785106,22.1792479243246,1018.60242532467,0.392901042039483
"42","Bali","Yogyakarta",18.0443428785106,11.3602883084251,518.587548446528,0.395283184199118
