"Metric" "Resolution" "Mean_Value" "SD_Value" "cost" "SD_loss" "Mean_loss" "SD_loss_pct" "Mean_loss_pct" "SD_retained_pct" "Mean_retained_pct"
"PAR" "100" 16.1504961617441 23.6451104840646 24953458 0 0 0 0 100 100
"PAR" "150" 17.0733841856022 25.5309073074991 11539749 -1.88579682343445 -0.922888023858114 -7.97541980066181 -5.71430137263629 107.975419800662 105.714301372636
"PAR" "200" 16.0591380516527 23.2186211072712 6659920 0.426489376793381 0.0913581100914485 1.80371065333279 0.565667513719177 98.1962893466672 99.4343324862808
"PAR" "250" 16.6653522166517 24.7447551059014 4334035 -1.09964462183678 -0.5148560549076 -4.65062162673281 -3.18786525040107 104.650621626733 103.187865250401
"PAR" "300" 16.689050245386 25.0528991167498 3062934 -1.4077886326852 -0.538554083641866 -5.95382556420687 -3.33459776249813 105.953825564207 103.334597762498
"PAR" "350" 15.816591506439 24.1867884665977 2304138 -0.541677982533063 0.33390465530516 -2.29086678574888 2.06745756886455 102.290866785749 97.9325424311354
"PAR" "400" 15.8219678054382 23.7754500543661 1779668 -0.130339570301533 0.328528356305929 -0.551232655010736 2.03416881447963 100.551232655011 97.9658311855204
"PAR" "500" 16.0154289547229 25.1153061296926 1168587 -1.47019564562802 0.135067207021269 -6.2177575639532 0.836303762241087 106.217757563953 99.1636962377589
"PAR" "600" 15.753565483162 24.3838068994286 834310 -0.73869641536394 0.396930678582097 -3.1240979646163 2.45769959391285 103.124097964616 97.5423004060872
"PAR" "700" 16.7554626758993 26.0985834355669 619427 -2.45347295150229 -0.604966514155141 -10.3762380520733 -3.74580760923079 110.376238052073 103.745807609231
"PAR" "800" 15.9089009579774 24.7404501167522 485825 -1.09533963268758 0.241595203766716 -4.63241494864563 1.49589957699867 104.632414948646 98.5041004230013
"PAR" "900" 15.9288859147773 24.2223508575719 391243 -0.577240373507276 0.221610246966824 -2.44126739816379 1.37215751607529 102.441267398164 98.6278424839247
"PAR" "1000" 16.2532823328994 29.7373921104411 320927 -6.09228162637651 -0.102786171155316 -25.7655028953337 -0.636427327841389 125.765502895334 100.636427327841
"PAR" "2000" 16.8776588702228 28.4724156250205 93399 -4.82730514095588 -0.727162708478726 -20.4156590607144 -4.50241714679431 120.415659060714 104.502417146794
"PAR" "2500" 17.6029118359133 35.6908730250281 61675 -12.0457625409635 -1.45241567416916 -50.9439892407421 -8.99300962412238 150.943989240742 108.993009624122
"PAR" "3000" 18.3098457475035 37.9565335460052 45855 -14.3114230619406 -2.15934958575938 -60.525930177343 -13.3701749106276 160.525930177343 113.370174910628
"PAR" "4000" 18.0828415604459 38.2765541742492 27794 -14.6314436901846 -1.93234539870181 -61.8793627547028 -11.9646194107583 161.879362754703 111.964619410758
"PAR" "5000" 17.6191207860545 36.0740470421435 19527 -12.4289365580789 -1.46862462431034 -52.5645103940421 -9.09337155714816 152.564510394042 109.093371557148
