"Metric" "Resolution" "Mean_Value" "SD_Value" "cost" "SD_loss" "Mean_loss" "SD_loss_pct" "Mean_loss_pct" "Mean_retained_pct" "SD_retained_pct"
"PAR" "100" 16.1504961617441 23.6451104840646 24953458 0 0 0 0 100 100
"PAR" "200" 16.0591380516527 23.2186211072712 6659920 0.426489376793381 0.0913581100914485 1.80371065333279 0.565667513719177 99.4343324862808 98.1962893466672
"PAR" "300" 16.689050245386 25.0528991167498 3062934 -1.4077886326852 -0.538554083641866 -5.95382556420687 -3.33459776249813 103.334597762498 105.953825564207
"PAR" "400" 15.8219678054382 23.7754500543661 1779668 -0.130339570301533 0.328528356305929 -0.551232655010736 2.03416881447963 97.9658311855204 100.551232655011
"PAR" "500" 16.0154289547229 25.1153061296926 1168587 -1.47019564562802 0.135067207021269 -6.2177575639532 0.836303762241087 99.1636962377589 106.217757563953
"PAR" "600" 15.753565483162 24.3838068994286 834310 -0.73869641536394 0.396930678582097 -3.1240979646163 2.45769959391285 97.5423004060872 103.124097964616
"PAR" "700" 16.7554626758993 26.0985834355669 619427 -2.45347295150229 -0.604966514155141 -10.3762380520733 -3.74580760923079 103.745807609231 110.376238052073
"PAR" "800" 15.9089009579774 24.7404501167522 485825 -1.09533963268758 0.241595203766716 -4.63241494864563 1.49589957699867 98.5041004230013 104.632414948646
"PAR" "900" 15.9288859147773 24.2223508575719 391243 -0.577240373507276 0.221610246966824 -2.44126739816379 1.37215751607529 98.6278424839247 102.441267398164
"PAR" "1000" 16.2532823328994 29.7373921104411 320927 -6.09228162637651 -0.102786171155316 -25.7655028953337 -0.636427327841389 100.636427327841 125.765502895334
"PAR" "5000" 17.6191207860545 36.0740470421435 19527 -12.4289365580789 -1.46862462431034 -52.5645103940421 -9.09337155714816 109.093371557148 152.564510394042
