Host binomial,Class,Order,Family,Human-shared pathogens,Reservoir zoonotic pathogens (strict),Non human-shared pathogens,Human-shared pathogen diversity,Evidence of host status,Zoonotic agent host (strict),Pathogen richness (human-shared),Pathogen richness (not human-shared),Data sources,Num studies (PREDICTS),Num sites (PREDICTS)
Lutra lutra,Mammalia,Carnivora,Mustelidae,"Acinetobacter lwoffii, Aerococcus viridans, Agrobacterium tumefaciens, Aleutian mink disease, Anisakis simplex, Apophallus donicus, Burkholderia cepacia, Corynosoma strumosum, Dirofilaria immitis, Fasciola hepatica, Hafnia alvei, Mannheimia haemolytica, Mesocestoides lineatus, Metorchis albidus, Morganella morganii, Opisthorchis felineus, Paenibacillus alvei, Plesiomonas shigelloides, Propionibacterium avidum, Pseudamphistomum truncatum, Pseudoterranova decipiens, Rahnella aquatilis, Spirometra erinaceieuropaei, Streptococcus dysgalactiae, Toxoplasma gondii, Trichinella spiralis, Yersinia pseudotuberculosis","Anisakis simplex, Apophallus donicus, Corynosoma strumosum, Dirofilaria immitis, Fasciola hepatica, Hafnia alvei, Mannheimia haemolytica, Mesocestoides lineatus, Metorchis albidus, Morganella morganii, Opisthorchis felineus, Plesiomonas shigelloides, Propionibacterium avidum, Pseudamphistomum truncatum, Pseudoterranova decipiens, Spirometra erinaceieuropaei, Trichinella spiralis, Yersinia pseudotuberculosis","Acanthocephalus anguillae, Acanthocephalus ranae, Alaria alata, Aonchotheca putorii, Buttiauxella agrestis, Capillaria mucronata, Capillaria putorii, Crenosoma vulpis, Diphyllobothrium medium, Dracunculus lutrae, Empedobacter brevis, Eucoleus schvalovoj, Euparyphium melis, Isospora lutrae, Isthmiophora melis, Metorchis bilis, Pomphorhynchus laevis, Pseudomonas luteola, Skrjabingylus nasicola, Staphylococcus simulans, Streptococcus porci, Strongyloides lutrae, Strongyloides martis, Vagococcus lutrae, Yokenella regensburgei","bacteria/rickettsia, virus, helminth, protozoa",Detection/ reservoir,1,27,20,"EID2, GMPD2, Olival",1,9
Martes foina,Mammalia,Carnivora,Mustelidae,"Balantidium coli, Canine distemper, Eucoleus aerophilus, European bat lyssavirus 1, Influenza a, Strongyloides stercoralis, Thelazia callipaeda, Toxocara cati, Toxoplasma gondii, Trichinella britovi, Yersinia enterocolitica, Yersinia pseudotuberculosis","Balantidium coli, Eucoleus aerophilus, Influenza a, Strongyloides stercoralis, Thelazia callipaeda, Toxocara cati, Toxoplasma gondii, Trichinella britovi, Yersinia enterocolitica, Yersinia pseudotuberculosis","Aonchotheca putorii, Canine mastadenovirus a, Capillaria plica, Carnivore protoparvovirus 1, Crenosoma petrowi, Cystoisospora felis, Filaria martis, Molineus patens, Neospora caninum, Skrjabingylus petrovi, Sobolevingylus petrowi, Taenia martis, Uncinaria criniformis","protozoa, virus, helminth, bacteria/rickettsia",Detection/ reservoir,1,12,10,"EID2, GMPD2, Olival",1,46
Mellivora capensis,Mammalia,Carnivora,Mustelidae,Rabies,Rabies,,virus,Detection/ reservoir,1,1,0,Olival,1,86
Nasua narica,Mammalia,Carnivora,Procyonidae,"Escherichia coli, Vesicular stomatitis indiana",Escherichia coli,Porrorchis nickoli,"bacteria/rickettsia, virus",Detection/ reservoir,1,2,1,"GMPD2, Olival",1,28
Nasua nasua,Mammalia,Carnivora,Procyonidae,"Dioctophyma renale, Trypanosoma cruzi","Dioctophyma renale, Trypanosoma cruzi","Hepatozoon procyonis, Simbu, Trypanosoma evansi","helminth, protozoa",Detection/ reservoir,1,2,1,"EID2, GMPD2, Plourde",3,49
Potos flavus,Mammalia,Carnivora,Procyonidae,"Mayaro, Vesicular stomatitis indiana",NA,,virus,Serological,1,3,0,"EID2, Olival",1,40
Procyon lotor,Mammalia,Carnivora,Procyonidae,"Alphacoronavirus 1, Anaplasma phagocytophilum, Angiostrongylus costaricensis, Ascaris lumbricoides, Ascaris suum, Babesia microti, Bartonella rochalimae, Baylisascaris procyonis, Borna, Borrelia burgdorferi, Brugia beaveri, Canine distemper, Coxiella burnetii, Cryptosporidium parvum, Dirofilaria immitis, Dirofilaria tenuis, Dracunculus insignis, Ehrlichia canis, Ehrlichia chaffeensis, Ehrlichia muris, Encephalomyocarditis, Enterococcus faecalis, Escherichia coli, Francisella tularensis, Gongylonema pulchrum, Heterobilharzia americana, Influenza a, Japanese encephalitis, Leptospira canicola, Leptospira grippotyphosa, Leptospira icterohaemorrhagiae, Leptospira interrogans, Macracanthorhynchus ingens, Mesocestoides lineatus, Mesocestoides variabilis, Metagonimus takahashii, Metagonimus yokogawai, Metorchis conjunctus, Mycobacterium avium, Mycobacterium bovis, Mycobacterium fortuitum, Nanophyetus salmincola, Patois, Pseudomonas aeruginosa, Rabies, Salmonella enterica, Spirometra mansonoides, St. louis encephalitis, Staphylococcus aureus, Staphylococcus intermedius, Suid herpesvirus 1, Taenia hydatigena, Toxascaris leonina, Toxoplasma gondii, Trichinella spiralis, Trypanosoma cruzi, Vesicular stomatitis indiana, West nile, Western equine encephalitis","Angiostrongylus costaricensis, Ascaris lumbricoides, Ascaris suum, Babesia microti, Bartonella rochalimae, Baylisascaris procyonis, Borna, Borrelia burgdorferi, Brugia beaveri, Coxiella burnetii, Cryptosporidium parvum, Dirofilaria immitis, Dirofilaria tenuis, Dracunculus insignis, Encephalomyocarditis, Enterococcus faecalis, Escherichia coli, Gongylonema pulchrum, Heterobilharzia americana, Leptospira interrogans, Macracanthorhynchus ingens, Mesocestoides lineatus, Mesocestoides variabilis, Metagonimus yokogawai, Metorchis conjunctus, Mycobacterium avium, Mycobacterium bovis, Mycobacterium fortuitum, Nanophyetus salmincola, Pseudomonas aeruginosa, Rabies, Salmonella enterica, Spirometra mansonoides, St. louis encephalitis, Staphylococcus aureus, Staphylococcus intermedius, Suid herpesvirus 1, Toxascaris leonina, Toxoplasma gondii, Trichinella spiralis, Trypanosoma cruzi","Acanthocheilonema procyonis, Alaria taxideae, Anaplasma bovis, Ancylostoma kusimaense, Aonchotheca putorii, Apophallus venustus, Arthrostoma miyazakiense, Ascocotyle ampullacea, Ascocotyle leighi, Ascorhytis charadriformis, Atriotaenia incisa, Atriotaenia procyonis, Babesia lotori, Baylisascaris columnaris, Brachylaima fuscatus, Brachylaima pellucidum, Brachylaima virginianum, Canine mastadenovirus a, Capillaria mustelorum, Capillaria plica, Capillaria procyonis, Capillaria putorii, Carnivore protoparvovirus 1, Centrorhynchus bazaleticus, Centrorhynchus conspectus, Centrorhynchus teres, Concinnum ten, Contracaecum spiculigerum, Crenosoma goblei, Cruzia americana, Cryptocotyle jejunum, Echinorhynchus gadi, Eimeria nuttalli, Eimeria procyonis, Euparyphium beaveri, Euryhelmis squamula, Eurytrema procyonis, Feline panleukopenia, Fibricola cartera, Fibricola cratera, Fibricola texensis, Filaria taxideae, Gnathostoma lamothei, Gnathostoma procyonis, Gynaecotyla adunca, Gyrosoma singularis, Hepatozoon procyonis, Hydatigera taeniaeformis, Isthmiophora hortensis, Lyperosomum sinuosum, Macroorchis spinulosus, Mansonella llewellyni, Maritreminoides nettae, Mesostephanus appendiculatoides, Metagonimoides oregonensis, Microphallus similis, Microphallus turgidus, Molineus barbatus, Molineus legerae, Neospora caninum, Paragonimus rudis, Parallelorchis diglossus, Parametorchis complexus, Phagicola angrense, Phagicola diminuta, Phagicola longa, Pharyngostomoides adenocephala, Pharyngostomoides procyonis, Physaloptera maxillaris, Physaloptera rara, Placoconus lotoris, Plagiorchis muris, Plagiorchis vespertilionis, Plagiorhynchus cylindraceus, Plagiorhynchus ogatai, Porrocaecum decipiens, Porrorchis oti, Pricetrema zolophi, Procyonostrongylus muelleri, Procyotrema marsupiformis, Profilicollis botulus, Prosthodendrium naviculum, Raccoonpox, Ribeiroia ondatrae, Sarcocystis kirkpatricki, Sarcocystis neurona, Southwellina hispida, Sphaerirostris lanceoides, Stephanoprora spinosa, Strongyloides procyonis, Taenia pisiformis, Troglotrema mustelae","virus, bacteria/rickettsia, helminth, protozoa, fungi",Detection/ reservoir,1,64,86,"EID2, GMPD2, Olival, Plourde",1,28
Ursus arctos,Mammalia,Carnivora,Ursidae,"Bhanja, California encephalitis, Canine distemper, Francisella tularensis, Leptospira interrogans, Metorchis conjunctus, Mycobacterium avium, Sandfly fever naples, Sindbis, Toxoplasma gondii, Trichinella britovi, Trichinella spiralis, West nile","Bhanja, California encephalitis, Leptospira interrogans, Metorchis conjunctus, Mycobacterium avium, Sandfly fever naples, Trichinella britovi, Trichinella spiralis, West nile","Baylisascaris schroederi, Baylisascaris transfuga, Baylisiella tecta, Canid herpesvirus 1, Canine mastadenovirus a, Carnivore protoparvovirus 1, Cetacean morbillivirus, Phocine distemper, Sarcocystis arctosi","bacteria/rickettsia, virus, helminth, protozoa",Detection/ reservoir,1,15,8,"EID2, GMPD2, Olival, Plourde",1,46
Capra ibex,Mammalia,Cetartiodactyla,Bovidae,"Borrelia burgdorferi, Chlamydia psittaci, Dichelobacter nodosus",Dichelobacter nodosus,"Bovine herpesvirus 1, Caprine herpesvirus 1, Caprine herpesvirus 2, Cervid herpesvirus 1, Goat adenovirus, Marshallagia occidentalis, Mycoplasma conjunctivae, Nematodirus davtiani, Nematodirus filicollis, Nematodirus helvetianus, Ostertagia leptospicularis, Ostertagia trifurcata, Peste-des-petits-ruminants, Sarcocystis arieticanis, Sarcocystis capracanis, Sarcocystis capricornis, Sarcocystis cornagliai","bacteria/rickettsia, protozoa, helminth",Detection/ reservoir,1,16,4,"EID2, GMPD2, Olival",1,46
Cephalophus callipygus,Mammalia,Cetartiodactyla,Bovidae,Zaire ebolavirus,Zaire ebolavirus,,virus,Detection/ reservoir,1,1,0,Olival,1,86
