Host binomial,Class,Order,Family,Human-shared pathogens,Reservoir zoonotic pathogens (strict),Non human-shared pathogens,Human-shared pathogen diversity,Evidence of host status,Zoonotic agent host (strict),Pathogen richness (human-shared),Pathogen richness (not human-shared),Data sources,Num studies (PREDICTS),Num sites (PREDICTS)
Hipposideros bicolor,Mammalia,Chiroptera,Hipposideridae,Japanese encephalitis,NA,,virus,Serological,1,1,0,Olival,1,6
Megaderma lyra,Mammalia,Chiroptera,Megadermatidae,Influenza a,NA,,virus,Serological,1,1,0,Olival,1,2
Cynomops planirostris,Mammalia,Chiroptera,Molossidae,Rabies,NA,,virus,Serological,1,1,0,Olival,1,1
Eumops auripendulus,Mammalia,Chiroptera,Molossidae,Rabies,Rabies,,virus,Detection/ reservoir,1,1,0,"EID2, Olival",1,46
Molossus molossus,Mammalia,Chiroptera,Molossidae,"Catu, Dengue, Ilheus, Rabies, Rio bravo, St. louis encephalitis, Yellow fever","Catu, Rabies",Trypanosoma dionisii,"fungi, virus",Detection/ reservoir,1,8,1,"EID2, Olival",2,61
Molossus rufus,Mammalia,Chiroptera,Molossidae,"Dengue, Ilheus, Rabies, Rio bravo, St. louis encephalitis, Yellow fever","Rabies, Rio bravo","Manzanilla, Mucambo, Tamana bat",virus,Detection/ reservoir,1,6,2,"EID2, Olival",1,8
Mormoops megalophylla,Mammalia,Chiroptera,Mormoopidae,"Rabies, Rio bravo",NA,Tamana bat,virus,Serological,1,2,1,Olival,1,12
Pteronotus davyi,Mammalia,Chiroptera,Mormoopidae,"Dengue, Ilheus, Rabies, Rio bravo, St. louis encephalitis, Yellow fever",Rabies,Tamana bat,"fungi, virus",Detection/ reservoir,1,7,1,"EID2, Olival",2,20
Pteronotus parnellii,Mammalia,Chiroptera,Mormoopidae,"Dengue, Ilheus, Rabies, Rio bravo, St. louis encephalitis, Yellow fever",,"Bimiti, Litomosoides yutajensis, Tamana bat",virus,Serological,1,6,3,"EID2, Olival",4,69
Natalus stramineus,Mammalia,Chiroptera,Natalidae,Dengue,Dengue,,virus,Detection/ reservoir,1,1,0,Olival,2,20
Anoura geoffroyi,Mammalia,Chiroptera,Phyllostomidae,"Catu, Dengue, Guama, Ilheus, Rio bravo, St. louis encephalitis",NA,"Bimiti, Tamana bat",virus,Serological,1,6,2,Olival,2,10
Artibeus cinereus,Mammalia,Chiroptera,Phyllostomidae,"Dengue, Ilheus, Rabies, Yellow fever",NA,,virus,Serological,1,4,0,Olival,1,3
Artibeus jamaicensis,Mammalia,Chiroptera,Phyllostomidae,"Dengue, Eastern equine encephalitis, Ilheus, Marituba, Rabies, Rio bravo, St. louis encephalitis, Tacaribe, Venezuelan equine encephalitis, Vesicular stomatitis indiana, Vesicular stomatitis new jersey, Western equine encephalitis, Yellow fever","Dengue, Marituba, Rabies, Tacaribe",Tamana bat,virus,Detection/ reservoir,1,13,1,"EID2, Olival",4,74
Artibeus lituratus,Mammalia,Chiroptera,Phyllostomidae,"Caraparu, Dengue, Eastern equine encephalitis, Guama, Ilheus, Marituba, Oriboca, Oropouche, Rabies, Rio bravo, St. louis encephalitis, Tacaribe, Venezuelan equine encephalitis, Vesicular stomatitis indiana, Western equine encephalitis, Yellow fever","Marituba, Rabies, Tacaribe","Itaporanga, Jurona",virus,Detection/ reservoir,1,16,2,"EID2, Olival",6,92
Artibeus phaeotis,Mammalia,Chiroptera,Phyllostomidae,"Rabies, Rio bravo, St. louis encephalitis, Venezuelan equine encephalitis, Vesicular stomatitis indiana, Vesicular stomatitis new jersey",Venezuelan equine encephalitis,,virus,Detection/ reservoir,1,6,0,Olival,3,28
Artibeus planirostris,Mammalia,Chiroptera,Phyllostomidae,Rabies,Rabies,,"virus, protozoa",Detection/ reservoir,1,3,0,"EID2, Olival",2,18
Artibeus toltecus,Mammalia,Chiroptera,Phyllostomidae,"Rio bravo, Tacaribe",Tacaribe,,virus,Detection/ reservoir,1,2,0,Olival,2,20
Carollia brevicauda,Mammalia,Chiroptera,Phyllostomidae,"Dengue, Rio bravo, Venezuelan equine encephalitis",Dengue,,"virus, bacteria/rickettsia",Detection/ reservoir,1,4,0,"EID2, Olival",5,84
Carollia perspicillata,Mammalia,Chiroptera,Phyllostomidae,"Catu, Dengue, Eastern equine encephalitis, Ilheus, Marituba, Rabies, Rio bravo, St. louis encephalitis, Venezuelan equine encephalitis, Vesicular stomatitis indiana, Vesicular stomatitis new jersey, Yellow fever","Rabies, Venezuelan equine encephalitis","Bimiti, Mucambo, Tamana bat, Trypanosoma dionisii","virus, protozoa",Detection/ reservoir,1,13,3,"EID2, Olival",5,84
Chrotopterus auritus,Mammalia,Chiroptera,Phyllostomidae,Rabies,Rabies,,"virus, protozoa",Detection/ reservoir,1,2,0,"EID2, Olival",5,82
Desmodus rotundus,Mammalia,Chiroptera,Phyllostomidae,"Dengue, Ilheus, Rabies, Rio bravo, Tacaribe, Venezuelan equine encephalitis, Vesicular stomatitis indiana, Vesicular stomatitis new jersey","Rabies, Venezuelan equine encephalitis","Tamana bat, Trypanosoma dionisii","fungi, virus, bacteria/rickettsia",Detection/ reservoir,1,10,2,"EID2, Olival",6,90
Diphylla ecaudata,Mammalia,Chiroptera,Phyllostomidae,Rabies,Rabies,,virus,Detection/ reservoir,1,1,0,"EID2, Olival",1,8
Glossophaga commissarisi,Mammalia,Chiroptera,Phyllostomidae,Venezuelan equine encephalitis,NA,,virus,Serological,1,1,0,Olival,1,8
Glossophaga soricina,Mammalia,Chiroptera,Phyllostomidae,"Eastern equine encephalitis, Ilheus, Rabies, Rio bravo, St. louis encephalitis, Venezuelan equine encephalitis, Vesicular stomatitis indiana, Vesicular stomatitis new jersey, Yellow fever",Venezuelan equine encephalitis,,"virus, bacteria/rickettsia",Detection/ reservoir,1,10,0,"EID2, Olival",6,92
Lophostoma silvicolum,Mammalia,Chiroptera,Phyllostomidae,"Vesicular stomatitis indiana, Vesicular stomatitis new jersey",NA,,virus,Serological,1,2,0,Olival,3,62
Micronycteris megalotis,Mammalia,Chiroptera,Phyllostomidae,Rabies,NA,,virus,Serological,1,1,0,Olival,3,59
Phyllostomus discolor,Mammalia,Chiroptera,Phyllostomidae,"Rio bravo, Venezuelan equine encephalitis",NA,Tamana bat,"virus, protozoa",Serological,1,3,1,"EID2, Olival",4,76
Phyllostomus hastatus,Mammalia,Chiroptera,Phyllostomidae,"Catu, Dengue, Eastern equine encephalitis, Guama, Ilheus, Marituba, Rabies, St. louis encephalitis, Tacaribe, Yellow fever","Marituba, Rabies","Bimiti, Cocal, Mucambo","virus, bacteria/rickettsia, protozoa",Detection/ reservoir,1,12,2,"EID2, Olival",3,64
Platyrrhinus helleri,Mammalia,Chiroptera,Phyllostomidae,"Eastern equine encephalitis, Ilheus, Tacaribe, Yellow fever",NA,,virus,Serological,1,4,0,Olival,4,76
Sturnira lilium,Mammalia,Chiroptera,Phyllostomidae,"Dengue, Eastern equine encephalitis, Rabies, Rio bravo, St. louis encephalitis, Tacaribe, Venezuelan equine encephalitis, Vesicular stomatitis indiana, Vesicular stomatitis new jersey",,"Mapuera, Tamana bat, Trypanosoma dionisii","bacteria/rickettsia, virus",Serological,1,12,3,"EID2, Olival",6,92
Sturnira ludovici,Mammalia,Chiroptera,Phyllostomidae,Venezuelan equine encephalitis,NA,,virus,Serological,1,1,0,Olival,1,8
Sturnira tildae,Mammalia,Chiroptera,Phyllostomidae,St. louis encephalitis,NA,,"bacteria/rickettsia, virus",Serological,1,2,0,"EID2, Olival",3,64
Tonatia bidens,Mammalia,Chiroptera,Phyllostomidae,Tacaribe,NA,,"virus, protozoa",Serological,1,2,0,"EID2, Olival",1,46
Uroderma bilobatum,Mammalia,Chiroptera,Phyllostomidae,"Hepatitis b, Rabies, Tacaribe, Venezuelan equine encephalitis","Hepatitis b, Rabies, Venezuelan equine encephalitis","Tamana bat, Trypanosoma dionisii","virus, bacteria/rickettsia",Detection/ reservoir,1,6,2,"EID2, Olival",4,76
Vampyrodes caraccioli,Mammalia,Chiroptera,Phyllostomidae,"Vesicular stomatitis indiana, Vesicular stomatitis new jersey",NA,,virus,Serological,1,2,0,Olival,1,1
Cynopterus brachyotis,Mammalia,Chiroptera,Pteropodidae,"Dengue, Nipah, Rabies, Wesselsbron","Nipah, Rabies","Carey island, Issyk-kul, Jugra, Phnom penh bat",virus,Detection/ reservoir,1,4,4,Olival,3,25
Cynopterus sphinx,Mammalia,Chiroptera,Pteropodidae,"Bunyamwera, Influenza a, Japanese encephalitis, Kyasanur forest disease","Japanese encephalitis, Kyasanur forest disease",Lagos bat,virus,Detection/ reservoir,1,4,0,Olival,1,2
Eonycteris spelaea,Mammalia,Chiroptera,Pteropodidae,"Australian bat lyssavirus, Kyasanur forest disease, Nipah",Nipah,"Issyk-kul, Phnom penh bat",virus,Detection/ reservoir,1,3,2,Olival,2,19
Pteropus alecto,Mammalia,Chiroptera,Pteropodidae,"Australian bat lyssavirus, Dengue, Hendra, Japanese encephalitis, Menangle, Murray valley encephalitis, Ross river, Sindbis, West nile","Australian bat lyssavirus, Hendra, Menangle",,virus,Detection/ reservoir,1,9,0,"EID2, Olival, Plourde",1,168
Pteropus scapulatus,Mammalia,Chiroptera,Pteropodidae,"Australian bat lyssavirus, Dengue, Hendra, Japanese encephalitis, Menangle, Murray valley encephalitis, West nile","Australian bat lyssavirus, Hendra",,virus,Detection/ reservoir,1,7,0,"EID2, Olival, Plourde",1,168
Rousettus amplexicaudatus,Mammalia,Chiroptera,Pteropodidae,"Australian bat lyssavirus, Reston ebolavirus",NA,,virus,Serological,1,2,0,Olival,3,25
Eptesicus brasiliensis,Mammalia,Chiroptera,Vespertilionidae,Rabies,Rabies,Trypanosoma dionisii,virus,Detection/ reservoir,1,1,1,"EID2, Olival",1,15
Eptesicus furinalis,Mammalia,Chiroptera,Vespertilionidae,Rabies,Rabies,,virus,Detection/ reservoir,1,1,0,"EID2, Olival",1,8
Lasiurus ega,Mammalia,Chiroptera,Vespertilionidae,Rabies,Rabies,,virus,Detection/ reservoir,1,1,0,"EID2, Olival, Plourde",1,8
Miniopterus schreibersii,Mammalia,Chiroptera,Vespertilionidae,"Australian bat lyssavirus, Duvenhage, European bat lyssavirus 1, European bat lyssavirus 2, Japanese encephalitis, Kyasanur forest disease, Rift valley","Duvenhage, European bat lyssavirus 1, European bat lyssavirus 2, Japanese encephalitis, Rift valley","Prosthodendrium parvouterus, West caucasian bat, Yokose",virus,Detection/ reservoir,1,7,3,"EID2, Olival",2,119
Myotis californicus,Mammalia,Chiroptera,Vespertilionidae,Rabies,Rabies,,virus,Detection/ reservoir,1,1,0,"EID2, Olival",1,12
Myotis macrodactylus,Mammalia,Chiroptera,Vespertilionidae,Japanese encephalitis,NA,,virus,Serological,1,1,0,Olival,1,20
Myotis nattereri,Mammalia,Chiroptera,Vespertilionidae,"European bat lyssavirus 1, European bat lyssavirus 2","European bat lyssavirus 1, European bat lyssavirus 2",Geomyces destructans,virus,Detection/ reservoir,1,2,1,"EID2, Olival",1,20
Myotis nigricans,Mammalia,Chiroptera,Vespertilionidae,"Dengue, Rabies, Venezuelan equine encephalitis","Dengue, Rabies",Trypanosoma dionisii,"virus, protozoa",Detection/ reservoir,1,4,1,"EID2, Olival",1,15
Myotis riparius,Mammalia,Chiroptera,Vespertilionidae,Rabies,Rabies,,virus,Detection/ reservoir,1,1,0,"EID2, Olival",2,17
Philetor brachypterus,Mammalia,Chiroptera,Vespertilionidae,Australian bat lyssavirus,NA,,virus,Serological,1,1,0,Olival,2,23
Scotophilus kuhlii,Mammalia,Chiroptera,Vespertilionidae,"Australian bat lyssavirus, Chikungunya, Dengue, Nipah",Chikungunya,Issyk-kul,virus,Detection/ reservoir,1,5,1,"EID2, Olival",1,2
Vespertilio sinensis,Mammalia,Chiroptera,Vespertilionidae,Japanese encephalitis,Japanese encephalitis,,virus,Detection/ reservoir,1,1,0,Olival,1,20
Cabassous centralis,Mammalia,Cingulata,Dasypodidae,Vesicular stomatitis indiana,NA,,virus,Serological,1,1,0,Olival,1,28
Dasypus novemcinctus,Mammalia,Cingulata,Dasypodidae,"Eastern equine encephalitis, Leishmania naiffi, Mayaro, Mycobacterium leprae, St. louis encephalitis, Trypanosoma cruzi, Vesicular stomatitis indiana","Leishmania naiffi, Mycobacterium leprae, Trypanosoma cruzi",Sarcocystis dasypi,"virus, protozoa, bacteria/rickettsia, fungi",Detection/ reservoir,1,8,1,"EID2, Olival, Plourde",4,103
Didelphis albiventris,Mammalia,Didelphimorphia,Didelphidae,Trypanosoma cruzi,Trypanosoma cruzi,Sarcocystis lindsayi,"bacteria/rickettsia, protozoa",Detection/ reservoir,1,4,1,"EID2, Plourde",4,56
Philander opossum,Mammalia,Didelphimorphia,Didelphidae,"Mayaro, Patois, Venezuelan equine encephalitis, Vesicular stomatitis indiana",,"Araguari, Piry","bacteria/rickettsia, virus, protozoa",Serological,1,7,2,"EID2, Olival",2,31
Macropus agilis,Mammalia,Diprotodontia,Macropodidae,"Murray valley encephalitis, Ross river, Sindbis",Ross river,"Eubenangee, Globocephaloides macropodis, Labiostrongylus labiostrongylus, Macropostrongylus macropostrongylus, Macropostrongylus yorkei, Progamotaenia ewersi, Progamotaenia festiva",virus,Detection/ reservoir,1,3,7,"EID2, Olival, Plourde",1,168
Macropus giganteus,Mammalia,Diprotodontia,Macropodidae,"Foot-and-mouth disease, Gan gan, Murray valley encephalitis, Sindbis",Foot-and-mouth disease,"Cloacina hydriformis, Labiostrongylus bipapillosus, Macropodid herpesvirus 1, Macropodid herpesvirus 2, Paramacropostrongylus toraliformis, Progamotaenia ewersi, Progamotaenia festiva, Rugopharynx rosemariae, Wallal, Warrego","protozoa, virus",Detection/ reservoir,1,5,10,"EID2, Olival",3,64
Macropus robustus,Mammalia,Diprotodontia,Macropodidae,Ross river,NA,"Cloacina communis, Hypodontus macropi, Labiostrongylus longispicularis, Papillostrongylus labiatus, Progamotaenia festiva, Wallal",virus,Serological,1,1,6,"EID2, Olival",1,29
Trichosurus vulpecula,Mammalia,Diprotodontia,Phalangeridae,"Barmah forest, Ross river",Ross river,Possum adenovirus,virus,Detection/ reservoir,1,2,1,"EID2, Olival, Plourde",4,236
Procavia capensis,Mammalia,Hyracoidea,Procaviidae,Leishmania aethiopica,Leishmania aethiopica,,protozoa,Detection/ reservoir,1,3,0,"EID2, Plourde",1,84
Lepus americanus,Mammalia,Lagomorpha,Leporidae,"California encephalitis, Snowshoe hare, St. louis encephalitis, Western equine encephalitis",Snowshoe hare,,virus,Detection/ reservoir,1,4,0,"EID2, Olival, Plourde",1,100
Lepus europaeus,Mammalia,Lagomorpha,Leporidae,Tahyna,Tahyna,"Andrya rhopalocephala, European brown hare syndrome, Hare fibroma","bacteria/rickettsia, virus",Detection/ reservoir,1,4,3,"EID2, Olival, Plourde",1,138
Lepus saxatilis,Mammalia,Lagomorpha,Leporidae,Crimean-congo hemorrhagic fever,NA,,virus,Serological,1,1,0,Olival,1,84
Sylvilagus brasiliensis,Mammalia,Lagomorpha,Leporidae,"Patois, Vesicular stomatitis indiana",,Myxoma,virus,Serological,1,2,0,Olival,4,57
Equus quagga,Mammalia,Perissodactyla,Equidae,"Bacillus anthracis, Crimean-congo hemorrhagic fever, Leptospira interrogans, Setaria equina, Streptococcus equi, Strongyloides westeri","Bacillus anthracis, Setaria equina, Streptococcus equi, Strongyloides westeri","African horse sickness, Anoplocephala magna, Anoplocephala perfoliata, Crossocephalus viviparus, Cyathostomum alveatum, Cyathostomum montgomeryi, Cyathostomum tetracanthum, Cycloposthium scutigerum, Cylicocyclus adersi, Cylicocyclus auriculatus, Cylicocyclus insigne, Cylicocyclus triramosus, Cylicodontophorus reineckei, Cylicostephanus bidentatus, Cylicostephanus calicatus, Cylicostephanus minutus, Cylindropharynx intermedia, Draschia megastoma, Equid herpesvirus 1, Equid herpesvirus 4, Equid herpesvirus 9, Equine arteritis, Gastrodiscus aegyptiacus, Habronema majus, Habronema malani, Habronema tomasi, Habronema zebrae, Oesophagodontus robustus, Oxyuris equi, Parapoteriostomum schuermanni, Poteriostomum ratzii, Probstmayria vivipara, Skrjabinodentus longiconus, Strongylus asini, Strongylus edentatus, Strongylus vulgaris, Trichostrongylus thomasi, Triodontophorus burchelli, Triodontophorus hartmannae, Triodontophorus minor, Triodontophorus serratus","bacteria/rickettsia, virus, helminth",Detection/ reservoir,1,8,12,"EID2, GMPD2",1,84
Ceratotherium simum,Mammalia,Perissodactyla,Rhinocerotidae,"Crimean-congo hemorrhagic fever, Human parainfluenza virus 3, Leptospira interrogans, Rift valley, Toxoplasma gondii",,"African horse sickness, Akabane, Blepharocorys jubata, Bluetongue, Bovine alphaherpesvirus 1, Bovine viral diarrhea virus 1, Entodinium bicornutum, Entodinium caudatum, Entodinium dubardi, Entodinium furca, Entodinium minimum, Entodinium rectangulatum, Epidinium bulbiferum, Epidinium gigas, Epizootic hemorrhagic disease, Equid herpesvirus 1, Eudiplodinium maggii, Kiluluma rhinocerotis, Metadinium medium, Neospora caninum, Oxyuris karamoja, Probstmayria vivipara, Trypanosoma simiae","virus, bacteria/rickettsia, protozoa",Serological,1,5,8,"EID2, GMPD2, Olival",1,84
Myrmecophaga tridactyla,Mammalia,Pilosa,Myrmecophagidae,Human picobirnavirus,NA,,virus,Serological,0,2,0,"EID2, Olival",2,12
Tamandua tetradactyla,Mammalia,Pilosa,Myrmecophagidae,"Leishmania guyanensis, Mayaro, St. louis encephalitis, Vesicular stomatitis indiana",Leishmania guyanensis,,"protozoa, virus",Detection/ reservoir,1,6,0,"EID2, Olival, Plourde",2,47
Alouatta belzebul,Mammalia,Primates,Atelidae,"Mayaro, Yellow fever",,"Ascaris elongata, Mathevotaenia megastoma, Plasmodium brasilianum, Trypanosoma minasense, Trypanosoma mycetae",virus,Serological,1,2,5,GMPD2,1,2
Ateles chamek,Mammalia,Primates,Atelidae,"Blastocystis hominis, Trichuris trichiura","Blastocystis hominis, Trichuris trichiura","Chilomastix mesnili, Dipetalonema yatesi, Iodamoeba butschlii","protozoa, helminth",Detection/ reservoir,1,2,3,GMPD2,1,7
Ateles paniscus,Mammalia,Primates,Atelidae,"Balantidium coli, Eastern equine encephalitis, Leptospira interrogans, St. louis encephalitis, Yellow fever",St. louis encephalitis,"Dipetalonema caudispina, Dipetalonema gracile, Plasmodium brasilianum, Trypanosoma advieri, Trypanosoma lesourdi, Trypanosoma minasense, Trypanoxyuris atelis","protozoa, virus, bacteria/rickettsia",Detection/ reservoir,1,6,7,"GMPD2, Olival",3,49
Leontocebus fuscicollis,Mammalia,Primates,Callitrichidae,"Trichuris trichiura, Trypanosoma cruzi",Trichuris trichiura,"Dipetalonema gracile, Filaroides barretoi, Hymenolepis cebidarum, Iodamoeba butschlii, Mansonella marmosetae, Molineus elegans, Primasubulura jacchi, Prosthenorchis elegans, Spirura marmosetae, Spirura quianensis, Trichospirura leptostoma, Trypanosoma devei, Trypanoxyuris callithricis","fungi, helminth, protozoa",Detection/ reservoir,1,4,13,"EID2, GMPD2",1,7
Leontopithecus chrysomelas,Mammalia,Primates,Callitrichidae,"Torque teno, Trypanosoma cruzi, Yellow fever",,,"virus, protozoa",Serological,1,3,0,"GMPD2, Olival",1,40
Saguinus midas,Mammalia,Primates,Callitrichidae,"Mayaro, Plasmodium vivax, Trypanosoma cruzi, Trypanosoma rangeli",Trypanosoma rangeli,"Callitrichine herpesvirus 1, Dipetalonema gracile, Dipetalonema graciliformis, Mansonella marmosetae, Molineus midas, Plasmodium brasilianum, Prosthenorchis elegans, Trypanosoma devei, Trypanosoma minasense","virus, protozoa, fungi",Detection/ reservoir,1,5,9,"EID2, GMPD2, Olival",1,35
Cebus albifrons,Mammalia,Primates,Cebidae,Trypanosoma cruzi,,"Chilomastix mesnili, Dipetalonema obtusa, Endolimax nana, Isospora cebi, Plasmodium brasilianum, Trypanosoma lambrechti, Trypanosoma minasense, Trypanoxyuris clementinae","bacteria/rickettsia, protozoa",Serological,1,3,8,"EID2, GMPD2",1,7
Saimiri boliviensis,Mammalia,Primates,Cebidae,"Trypanosoma cruzi, Trypanosoma rangeli","Trypanosoma cruzi, Trypanosoma rangeli","Dipetalonema caudispina, Dipetalonema gracile, Filariopsis barretoi, Mansonella marmosetae, Molineus elegans, Plasmodium brasilianum, Prosthenorchis elegans, Tritrichomonas mobilensis, Trypanosoma minasense",protozoa,Detection/ reservoir,1,3,9,"EID2, GMPD2",1,7
Saimiri sciureus,Mammalia,Primates,Cebidae,"Blastocystis hominis, Encephalomyocarditis, Mayaro, Measles, Plasmodium falciparum, Simian foamy, Trypanosoma cruzi, Trypanosoma rangeli, Yellow fever","Blastocystis hominis, Encephalomyocarditis, Measles, Trypanosoma cruzi, Trypanosoma rangeli","Athesmia foxi, Chilomastix mesnili, Dipetalonema elegans, Dipetalonema gracile, Filariopsis barretoi, Filariopsis gordius, Filaroides barretoi, Filaroides gordius, Gongylonemoides saimirisi, Isospora saimirae, Lobatorobius sceleratus, Longistriata dubia, Mansonella colombiensis, Mansonella mariae, Mansonella marmosetae, Mansonella peruviana, Mansonella saimiri, Molineus elegans, Molineus torulosus, Molineus vexillarius, Oochoristica megastoma, Plasmodium brasilianum, Prosthenorchis elegans, Saimiriine herpesvirus 1, Saimiriine herpesvirus 2, Squirrel monkey retrovirus, Trypanosoma minasense, Trypanosoma sanmartini, Trypanoxyuris sceleratus","protozoa, virus, fungi",Detection/ reservoir,1,11,29,"EID2, GMPD2, Olival",1,35
Sapajus apella,Mammalia,Primates,Cebidae,"Blastocystis hominis, Caraparu, Leishmania shawi, Tacaiuma, Torque teno, Trypanosoma cruzi, Yellow fever","Blastocystis hominis, Caraparu, Leishmania shawi","Dipetalonema gracile, Endolimax nana, Filariopsis arator, Molineus torulosus, Plasmodium brasilianum, Trypanosoma diasi, Trypanosoma lambrechti, Trypanosoma minasense, Trypanoxyuris clementinae","protozoa, virus",Detection/ reservoir,1,14,9,"EID2, GMPD2, Olival",5,86
Allochrocebus solatus,Mammalia,Primates,Cercopithecidae,Simian foamy,NA,Simian immunodeficiency,virus,Serological,0,1,1,"EID2, Olival",1,86
Cercopithecus mitis,Mammalia,Primates,Cercopithecidae,"Dientamoeba fragilis, Entamoeba coli, Entamoeba hartmanni, Entamoeba histolytica, Primate t-lymphotropic virus 1, Retortamonas intestinalis, Schistosoma haematobium, Semliki forest, Simian foamy, Simian virus 10, Strongyloides fuelleborni","Dientamoeba fragilis, Entamoeba histolytica, Retortamonas intestinalis, Schistosoma haematobium, Strongyloides fuelleborni","Babesia pitheci, Chilomastix mesnili, Endolimax nana, Iodamoeba butschlii, Simian immunodeficiency, Trichomonas intestinalis","protozoa, helminth, virus",Detection/ reservoir,1,15,6,"EID2, GMPD2, Olival",2,49
Cercopithecus mona,Mammalia,Primates,Cercopithecidae,"Loa loa, Monkeypox, Oesophagostomum bifurcum, Primate t-lymphotropic virus 1, Primate t-lymphotropic virus 3, Ternidens deminutus, Yellow fever","Loa loa, Oesophagostomum bifurcum, Primate t-lymphotropic virus 1, Primate t-lymphotropic virus 3, Ternidens deminutus","Hepatocystis bovillezi, Simian immunodeficiency, Trypanosoma vivax","helminth, virus",Detection/ reservoir,1,9,2,"EID2, GMPD2, Olival",1,10
Cercopithecus petaurista,Mammalia,Primates,Cercopithecidae,Monkeypox,NA,Hepatocystis cercopitheci,virus,Serological,1,1,1,"GMPD2, Olival",1,10
Chlorocebus aethiops,Mammalia,Primates,Cercopithecidae,"Adeno-associated virus-1, African green monkey polyomavirus, Blastocystis hominis, Cercopithecine herpesvirus 5, Chikungunya, Entamoeba coli, Entamoeba histolytica, Marburg, Primate t-lymphotropic virus 1, Schistosoma mansoni, Schistosoma mattheei, Strongyloides fuelleborni, Yaba monkey tumor, Yellow fever","Blastocystis hominis, Cercopithecine herpesvirus 5, Chikungunya, Entamoeba histolytica, Marburg, Schistosoma mansoni, Schistosoma mattheei, Strongyloides fuelleborni, Yellow fever","African green monkey simian foamy, Babesia pitheci, Cercopithecine herpesvirus 2, Cercopithecine herpesvirus 9, Cercopithifilaria verveti, Cyclospora cercopitheci, Enterobius bipapillatus, Entopolypoides macaci, Hepatocystis kochi, Hepatovirus a, Macacine herpesvirus 5, Mason-pfizer monkey, Simian hemorrhagic fever, Simian immunodeficiency, Simian virus 12","virus, helminth, protozoa",Detection/ reservoir,1,23,15,"EID2, GMPD2, Olival",1,84
Colobus polykomos,Mammalia,Primates,Cercopithecidae,"Necator americanus, Staphylococcus aureus, Trichuris trichiura, Yellow fever","Necator americanus, Staphylococcus aureus, Trichuris trichiura","Colobostrongylus strongi, Dirofilaria schoutedeni","helminth, bacteria/rickettsia, virus",Detection/ reservoir,1,4,2,"GMPD2, Olival",1,10
Macaca fascicularis,Mammalia,Primates,Cercopithecidae,"Ancylostoma duodenale, Brugia malayi, Canine distemper, Cercopithecine herpesvirus 1, Chikungunya, Dengue, Eastern equine encephalitis, Hepatitis a, Human gammaherpesvirus 4, Japanese encephalitis, Lassa, Parainfluenza virus 5, Plasmodium knowlesi, Primate t-lymphotropic virus 1, Reston ebolavirus, Rotavirus a, Simian foamy, Simian parvovirus, Strongyloides fuelleborni, Trichuris trichiura, Yaba monkey tumor","Ancylostoma duodenale, Brugia malayi, Cercopithecine herpesvirus 1, Dengue, Lassa, Plasmodium knowlesi, Reston ebolavirus, Strongyloides fuelleborni, Trichuris trichiura","Aeromonas simiae, Anatrichosoma cynamolgi, Bakau, Cercopithecine herpesvirus 9, Dirofilaria magnilarvatum, Entamoeba nuttalli, Entopolypoides macaci, Hepatocystis semnopitheci, Hepatovirus a, Macaque simian foamy, Mason-pfizer monkey, Nochtia nochti, Plasmodium coatneyi, Plasmodium cynomolgi, Plasmodium fieldi, Plasmodium inui, Rhesus monkey papillomavirus 1, Simian adenovirus a, Simian enterovirus a, Simian immunodeficiency, Trypanosoma conorhini, Trypanosoma cyclops","helminth, bacteria/rickettsia, virus, protozoa, fungi",Detection/ reservoir,1,32,22,"EID2, GMPD2, Olival, Plourde",1,212
Macaca nemestrina,Mammalia,Primates,Cercopithecidae,"Cercopithecine herpesvirus 1, Dengue, Plasmodium knowlesi, Primate t-lymphotropic virus 1","Cercopithecine herpesvirus 1, Dengue, Plasmodium knowlesi","Bakau, Cercopithecine herpesvirus 9, Hepatocystis semnopitheci, Pig-tailed macaque parvovirus, Plasmodium coatneyi, Plasmodium cynomolgi, Plasmodium fieldi, Plasmodium inui, Simian immunodeficiency, Trypanosoma conorhini, Trypanosoma cyclops","virus, bacteria/rickettsia, protozoa, fungi",Detection/ reservoir,1,9,11,"EID2, GMPD2, Olival, Plourde",1,212
Macaca radiata,Mammalia,Primates,Cercopithecidae,"Cercopithecine herpesvirus 1, Kyasanur forest disease, Measles, Parainfluenza virus 5, Tick-borne encephalitis, Yaba monkey tumor","Cercopithecine herpesvirus 1, Kyasanur forest disease, Tick-borne encephalitis","Hepatocystis semnopitheci, Plasmodium cynomolgi, Plasmodium fragile, Plasmodium inui, Plasmodium shortii, Simian virus 5",virus,Detection/ reservoir,1,7,6,"EID2, GMPD2, Olival",1,9
Macaca silenus,Mammalia,Primates,Cercopithecidae,Simian foamy,NA,,virus,Serological,0,1,0,"EID2, GMPD2, Olival",1,9
